breach_date	data_class	total_number_of_affected_accounts
2020-02-27	Usernames	1431378
2016-01-01	Dates of birth	442094
2016-01-01	Email addresses	10704752
2016-01-01	IP addresses	3615357
2016-01-01	Passwords	10704752
2016-01-01	Usernames	10704752
2018-07-10	Dates of birth	22437749
2018-07-10	Email addresses	22437749
2018-07-10	Geographic locations	22437749
2018-07-10	Names	22437749
2018-07-10	Passwords	22437749
2016-12-16	Email addresses	457978969
2016-12-16	Passwords	457978969
2016-12-16	IP addresses	16431
2016-12-16	Private messages	16431
2016-12-16	Usernames	16431
2016-12-16	Website activity	16431
2018-07-23	Email addresses	125929660
2018-07-23	Employers	125929660
2018-07-23	Geographic locations	125929660
2018-07-23	Job titles	125929660
2018-07-23	Names	125929660
2018-07-23	Phone numbers	125929660
2018-07-23	Salutations	125929660
2018-07-23	Social media profiles	125929660
2017-03-25	Ages	49681
2017-03-25	Auth tokens	49681
2017-03-25	Email addresses	371601
2017-03-25	Employment statuses	49681
2017-03-25	Genders	371601
2017-03-25	IP addresses	371601
2017-03-25	Marital statuses	49681
2017-03-25	Names	371601
2017-03-25	Passwords	49681
2017-03-25	Physical addresses	371601
2017-03-25	Private messages	49681
2017-03-25	Social media profiles	49681
2017-03-25	Dates of birth	321920
2017-03-25	Health insurance information	321920
2017-03-25	Personal health data	321920
2017-03-25	Phone numbers	321920
2017-03-25	Security questions and answers	321920
2017-03-25	Social connections	321920
2020-06-22	Email addresses	32533810
2020-06-22	Employers	5888405
2020-06-22	IP addresses	26718822
2020-06-22	Names	31089181
2020-06-22	Passwords	32533810
2020-06-22	Phone numbers	10663608
2020-06-22	Genders	20425573
2020-06-22	Dates of birth	10590191
2020-06-22	Password strengths	5814988
2020-06-22	Usernames	1444629
2020-04-13	Browser user agent details	20012235
2020-04-13	Email addresses	20012235
2020-04-13	IP addresses	20012235
2020-04-13	Names	20012235
2020-04-13	Passwords	20012235
2019-01-01	Bios	10604307
2019-01-01	Dates of birth	10604307
2019-01-01	Email addresses	10604307
2019-01-01	Genders	10604307
2019-01-01	Geographic locations	10604307
2019-01-01	IP addresses	10604307
2019-01-01	Passwords	10604307
2019-01-01	Usernames	10604307
2016-05-18	Avatars	1531235
2016-05-18	Email addresses	1531235
2016-05-18	Geographic locations	1531235
2016-05-18	IP addresses	1531235
2016-05-18	Names	1531235
2016-05-18	Passwords	1531235
2016-05-18	Usernames	1531235
2016-05-18	Website activity	1531235
2019-06-19	Email addresses	157692
2019-06-19	Names	157692
2019-06-19	Passwords	157692
2019-06-19	Salutations	157692
2019-06-19	Usernames	157692
2015-07-19	Dates of birth	30811934
2015-07-19	Email addresses	30811934
2015-07-19	Ethnicities	30811934
2015-07-19	Genders	30811934
2015-07-19	Names	30811934
2015-07-19	Passwords	30811934
2015-07-19	Payment histories	30811934
2015-07-19	Phone numbers	30811934
2015-07-19	Physical addresses	30811934
2015-07-19	Security questions and answers	30811934
2015-07-19	Sexual orientations	30811934
2015-07-19	Usernames	30811934
2015-07-19	Website activity	30811934
2013-12-19	Email addresses	5788
2013-12-19	Instant messenger identities	5788
2013-12-19	IP addresses	5788
2013-12-19	Names	5788
2013-12-19	Passwords	5788
2013-12-19	Private messages	5788
2013-12-19	Usernames	5788
2013-12-19	Website activity	5788
2015-12-06	Email addresses	1436486
2015-12-06	IP addresses	1436486
2015-12-06	Passwords	1436486
2015-12-06	Usernames	1436486
2015-12-06	Website activity	1436486
2018-08-25	Account balances	261463
2018-08-25	Email addresses	261463
2018-08-25	Names	261463
2018-08-25	Phone numbers	261463
2019-08-14	Dates of birth	2743539
2019-08-14	Driver's licenses	2743539
2019-08-14	Email addresses	2743539
2019-08-14	Names	2743539
2019-08-14	Phone numbers	2743539
2019-08-14	Physical addresses	2743539
2019-08-14	Social security numbers	2743539
2019-08-14	Vehicle details	2743539
2018-02-04	Email addresses	143717
2018-02-04	Passwords	143717
2014-05-26	Email addresses	422959
2014-05-26	Passwords	422959
2014-05-26	Usernames	422959
2017-07-18	Email addresses	105059554
2017-07-18	Employers	105059554
2017-07-18	Job titles	105059554
2017-07-18	Names	105059554
2017-07-18	Phone numbers	105059554
2017-07-18	Physical addresses	105059554
2008-10-24	Email addresses	846742
2008-10-24	Passwords	846742
2013-06-01	Dates of birth	112005531
2013-06-01	Email addresses	112005531
2013-06-01	Genders	112005531
2013-06-01	Names	112005531
2013-06-01	Passwords	112005531
2013-06-01	Usernames	112005531
2018-12-29	Email addresses	213415
2018-12-29	Passwords	213415
2011-06-26	Passwords	530270
2011-06-26	Usernames	530270
2015-11-11	Beauty ratings	1100089
2015-11-11	Car ownership statuses	1100089
2015-11-11	Dates of birth	1100089
2015-11-11	Drinking habits	1100089
2015-11-11	Education levels	1100089
2015-11-11	Email addresses	1100089
2015-11-11	Genders	1100089
2015-11-11	Geographic locations	1100089
2015-11-11	Home ownership statuses	1100089
2015-11-11	Income levels	1100089
2015-11-11	IP addresses	1100089
2015-11-11	Job titles	1100089
2015-11-11	Names	1100089
2015-11-11	Passwords	1100089
2015-11-11	Personal descriptions	1100089
2015-11-11	Personal interests	1100089
2015-11-11	Physical attributes	1100089
2015-11-11	Sexual orientations	1100089
2015-11-11	Smoking habits	1100089
2015-11-11	Website activity	1100089
2014-02-01	Credit cards	20902
2014-02-01	Genders	20902
2014-02-01	Passwords	20902
2014-02-01	Usernames	20902
2017-05-15	Email addresses	2231256
2017-05-15	Geographic locations	2231256
2017-05-15	IP addresses	2231256
2017-05-15	Job titles	2231256
2017-05-15	Names	2231256
2017-05-15	Passwords	2231256
2017-05-15	Phone numbers	2231256
2017-05-15	Spoken languages	2231256
2017-05-15	Survey results	2231256
2017-05-15	Usernames	2231256
2018-03-19	Dates of birth	3204
2018-03-19	Email addresses	3204
2018-03-19	Genders	3204
2018-03-19	Geographic locations	3204
2018-03-19	IP addresses	3204
2018-03-19	Passwords	3204
2018-03-19	Private messages	3204
2018-03-19	Usernames	3204
2020-10-14	Dates of birth	24500011
2020-10-14	Email addresses	24500011
2020-10-14	IP addresses	24500011
2020-10-14	Names	24500011
2020-10-14	Passwords	24500011
2020-10-14	Phone numbers	24500011
2020-10-14	Physical addresses	24500011
2014-04-03	Career levels	36789
2014-04-03	Education levels	36789
2014-04-03	Email addresses	36789
2014-04-03	Names	36789
2014-04-03	Passwords	36789
2014-04-03	Phone numbers	36789
2014-04-03	Physical addresses	36789
2014-04-03	Salutations	36789
2014-04-03	User website URLs	36789
2014-04-03	Website activity	36789
2014-09-01	Ages	1287073
2014-09-01	Email addresses	1790574
2014-09-01	Genders	1287073
2014-09-01	IP addresses	1790574
2014-09-01	Passwords	1790574
2014-09-01	Usernames	1790574
2016-12-02	Email addresses	3402
2016-12-02	Passwords	3402
2016-12-02	Private messages	3402
2016-12-02	Usernames	3402
2014-01-09	Email addresses	4789599
2014-01-09	Passwords	4789599
2015-05-22	Dates of birth	501407
2015-05-22	Email addresses	501407
2015-05-22	Genders	501407
2015-05-22	IP addresses	501407
2015-05-22	Passwords	501407
2015-05-22	Security questions and answers	501407
2015-05-22	Usernames	501407
2015-05-22	Website activity	501407
2014-05-08	Email addresses	9313136
2014-05-08	Passwords	9313136
2014-05-08	Usernames	9313136
2014-06-23	Dates of birth	777387
2014-06-23	Email addresses	777387
2014-06-23	Instant messenger identities	777387
2014-06-23	IP addresses	777387
2014-06-23	Passwords	777387
2014-06-23	Usernames	777387
2014-06-23	Website activity	777387
2019-07-14	Device information	140029
2019-07-14	Email addresses	140029
2019-07-14	Genders	140029
2019-07-14	Geographic locations	140029
2019-07-14	IP addresses	140029
2019-07-14	Passwords	140029
2019-07-14	Usernames	140029
2018-12-28	Browser user agent details	7633234
2018-12-28	Email addresses	7633234
2018-12-28	IP addresses	7633234
2018-12-28	Passwords	7633234
2018-12-28	Purchases	7633234
2018-12-28	Usernames	7633234
2018-12-28	Website activity	7633234
2017-03-01	Email addresses	995274
2017-03-01	IP addresses	995274
2017-03-01	Passwords	995274
2017-03-01	Usernames	995274
2018-12-07	Email addresses	575437
2018-12-07	Passwords	575437
2020-08-14	Email addresses	2811929
2020-08-14	Historical passwords	2811929
2020-08-14	IP addresses	2811929
2020-08-14	Names	2811929
2020-08-14	Partial credit card data	2811929
2020-08-14	Passwords	2811929
2020-08-14	Phone numbers	2811929
2020-08-14	Physical addresses	2811929
2020-08-14	Purchases	2811929
2018-07-08	Dates of birth	3830916
2018-07-08	Email addresses	3830916
2018-07-08	Genders	3830916
2018-07-08	Geographic locations	3830916
2018-07-08	Names	3830916
2018-07-08	Passwords	3830916
2018-07-08	Usernames	3830916
2014-11-13	Email addresses	238373
2014-11-13	IP addresses	238373
2014-11-13	Passwords	238373
2014-11-13	Usernames	238373
2014-11-13	Website activity	238373
2014-03-29	Dates of birth	158093
2014-03-29	Email addresses	158093
2014-03-29	Geographic locations	158093
2014-03-29	Historical passwords	158093
2014-03-29	Instant messenger identities	158093
2014-03-29	IP addresses	158093
2014-03-29	Passwords	158093
2014-03-29	Private messages	158093
2014-03-29	User website URLs	158093
2014-03-29	Usernames	158093
2013-04-01	Email addresses	790724
2013-04-01	Passwords	790724
2013-04-01	Usernames	790724
2014-10-01	Account balances	568340
2014-10-01	Email addresses	568340
2014-10-01	IP addresses	568340
2014-10-01	Passwords	568340
2014-10-01	Usernames	568340
2014-10-01	Website activity	568340
2019-12-26	Dates of birth	444241
2019-12-26	Email addresses	444241
2019-12-26	Financial transactions	444241
2019-12-26	Geographic locations	444241
2019-12-26	IP addresses	444241
2019-12-26	Names	444241
2019-12-26	Usernames	444241
2017-10-23	Email addresses	13369666
2017-10-23	IP addresses	13369666
2017-10-23	Names	13369666
2017-10-23	Passwords	13369666
2017-10-23	Usernames	13369666
2019-07-15	Email addresses	471167
2019-07-15	Names	471167
2019-07-15	Phone numbers	471167
2019-07-15	Physical addresses	471167
2019-07-15	Taxation records	471167
2014-04-25	Email addresses	26596
2014-04-25	Names	26596
2014-04-25	Passwords	26596
2014-04-25	Usernames	26596
2014-04-25	Website activity	26596
2014-04-10	Email addresses	2628148
2014-04-10	Passwords	2628148
2019-02-20	Email addresses	23257913
2019-02-20	Names	23205290
2019-02-20	Passwords	23257913
2019-02-20	Phone numbers	23205290
2019-02-20	Physical addresses	23205290
2019-02-20	Usernames	52623
2014-02-05	Dates of birth	227746
2014-02-05	Email addresses	227746
2014-02-05	Geographic locations	227746
2014-02-05	Historical passwords	227746
2014-02-05	Instant messenger identities	227746
2014-02-05	IP addresses	227746
2014-02-05	Passwords	227746
2014-02-05	Private messages	227746
2014-02-05	Usernames	227746
2014-02-05	Website activity	227746
2019-05-24	Email addresses	137272116
2019-05-24	Geographic locations	137272116
2019-05-24	Names	137272116
2019-05-24	Passwords	137272116
2019-05-24	Usernames	137272116
2021-03-18	Email addresses	297744
2021-03-18	IP addresses	297744
2021-03-18	Passwords	297744
2021-03-18	Usernames	297744
2016-11-17	Email addresses	6844490
2016-11-17	Names	6844490
2016-11-17	Passwords	6844490
2016-11-17	Physical addresses	6844490
2020-03-01	Email addresses	1173012
2020-03-01	Names	1173012
2020-03-01	Passwords	1173012
2020-03-01	Usernames	1173012
2016-03-01	Email addresses	1871373
2016-03-01	Passwords	1871373
2016-03-01	Usernames	1871373
2020-03-26	Email addresses	2520441
2020-03-26	Names	2520441
2020-03-26	Passwords	2520441
2020-03-26	Phone numbers	2520441
2020-03-26	Social media profiles	2520441
2015-07-01	Email addresses	3383291
2015-07-01	IP addresses	980855
2015-07-01	Passwords	3471969
2015-07-01	Usernames	3383291
2015-07-01	Dates of birth	2549465
2015-07-01	Bank account numbers	88678
2015-07-01	Customer feedback	88678
2015-07-01	Financial transactions	88678
2015-07-01	Genders	88678
2015-07-01	Geographic locations	88678
2015-07-01	Government issued IDs	88678
2015-07-01	Marital statuses	88678
2015-07-01	Names	88678
2015-07-01	Phone numbers	88678
2015-07-01	Physical addresses	88678
2015-07-01	PINs	88678
2015-07-01	Security questions and answers	88678
2015-07-01	Spoken languages	88678
2018-04-28	Email addresses	40485484
2018-04-28	Names	39721127
2018-04-28	Passwords	40485484
2018-04-28	Usernames	40485484
2018-04-28	IP addresses	764357
2020-10-05	Email addresses	444224
2020-10-05	Names	444224
2020-10-05	Phone numbers	444224
2020-10-05	Physical addresses	444224
2020-11-04	Email addresses	226883414
2020-11-04	Passwords	226883414
2021-02-05	Email addresses	110156
2021-02-05	Government issued IDs	110156
2021-02-05	Names	110156
2021-02-05	Passwords	110156
2011-07-10	Email addresses	7830195
2011-07-10	IP addresses	7830195
2011-07-10	Passwords	7830195
2011-07-10	Usernames	7830195
2011-07-10	Website activity	7830195
2016-07-14	Email addresses	1604957
2016-07-14	IP addresses	1604957
2016-07-14	Passwords	1604957
2016-07-14	Usernames	1604957
2015-08-23	Dates of birth	15074786
2015-08-23	Email addresses	15074786
2015-08-23	Genders	15074786
2015-08-23	IP addresses	15074786
2015-08-23	Names	15074786
2015-08-23	Passwords	15074786
2015-08-23	Phone numbers	15074786
2015-08-23	Physical addresses	15074786
2016-09-04	Account balances	2424784
2016-09-04	Dates of birth	2424784
2016-09-04	Email addresses	5897700
2016-09-04	Genders	2424784
2016-09-04	IP addresses	2424784
2016-09-04	Names	5897700
2016-09-04	Passwords	2424784
2016-09-04	Payment histories	2424784
2016-09-04	Payment methods	2424784
2016-09-04	Physical addresses	2424784
2016-09-04	Usernames	2424784
2016-09-04	Website activity	2424784
2017-01-01	Email addresses	422791436
2017-01-01	Family members' names	583503
2017-01-01	Passwords	29195081
2017-01-01	Dates of birth	1161744
2017-01-01	Usernames	28391945
2017-01-01	Website activity	1023466
2017-01-01	IP addresses	393596355
2017-01-01	Names	393779072
2017-01-01	Physical addresses	393596355
2017-01-01	Phone numbers	348763
2018-01-21	Email addresses	1688176
2018-01-21	IP addresses	1688176
2018-01-21	Passwords	1688176
2018-01-21	Usernames	1688176
2019-07-27	Email addresses	4007909
2019-07-27	IP addresses	4007909
2019-07-27	Passwords	4007909
2019-07-27	Usernames	4007909
2017-02-22	Email addresses	599802
2017-02-22	IP addresses	599802
2017-02-22	Passwords	599802
2017-02-22	Usernames	599802
2017-08-03	Email addresses	478824
2017-08-03	Passwords	478824
2017-08-03	Usernames	478824
2019-01-07	Email addresses	772904991
2019-01-07	Passwords	772904991
2015-11-08	Email addresses	616882
2015-11-08	Passwords	616882
2015-11-08	Physical addresses	616882
2016-03-27	Biometric data	228605
2016-03-27	Dates of birth	228605
2016-03-27	Email addresses	228605
2016-03-27	Family members' names	228605
2016-03-27	Genders	228605
2016-03-27	Job titles	228605
2016-03-27	Marital statuses	228605
2016-03-27	Names	228605
2016-03-27	Passport numbers	228605
2016-03-27	Phone numbers	228605
2016-03-27	Physical addresses	228605
2016-03-27	Physical attributes	228605
2014-02-08	Email addresses	11010525
2014-02-08	Passwords	11010525
2020-02-20	Email addresses	22802117
2020-02-20	Job titles	22802117
2020-02-20	Names	22802117
2020-02-20	Phone numbers	22802117
2020-02-20	Physical addresses	22802117
2020-02-20	Social media profiles	22802117
2013-09-09	Email addresses	19210
2013-09-09	IP addresses	19210
2013-09-09	Passwords	19210
2013-09-09	Usernames	19210
2013-09-09	Website activity	19210
2019-07-21	Email addresses	749161
2019-07-21	IP addresses	749161
2019-07-21	Passwords	749161
2019-07-21	Private messages	749161
2019-07-21	Usernames	749161
2018-05-01	Email addresses	758800
2018-05-01	IP addresses	758800
2018-05-01	Passwords	758800
2018-05-01	Usernames	758800
2017-01-19	Email addresses	942044
2017-01-19	Passwords	942044
2017-01-19	Usernames	942044
2016-08-08	Email addresses	17812459
2016-08-08	Passwords	17812459
2016-08-08	Usernames	17812459
2017-05-16	Email addresses	637340
2017-05-16	Passwords	637340
2017-05-16	Usernames	637340
2021-01-13	Email addresses	8032404
2021-01-13	IP addresses	8032404
2021-01-13	Passwords	8032404
2021-01-13	Usernames	8032404
2016-10-20	Email addresses	85176234
2016-10-20	Passwords	85176234
2016-10-20	Usernames	85176234
2018-01-01	Email addresses	2789543
2018-01-01	Names	464260
2018-01-01	Passwords	464260
2018-01-01	Phone numbers	464260
2018-01-01	Physical addresses	464260
2018-01-01	Geographic locations	2325283
2018-01-01	Usernames	2325283
2011-06-01	Email addresses	31032726
2011-06-01	Passwords	26183992
2011-06-01	Usernames	26183992
2011-06-01	Website activity	26183992
2015-12-01	Email addresses	3715380
2015-12-01	IP addresses	3536350
2015-12-01	Passwords	3715380
2015-12-01	Usernames	2583744
2018-11-14	Email addresses	44320330
2018-11-14	Employers	44320330
2018-11-14	IP addresses	44320330
2018-11-14	Job titles	44320330
2018-11-14	Names	44320330
2018-11-14	Phone numbers	44320330
2018-11-14	Physical addresses	44320330
2019-10-16	Email addresses	622161052
2019-10-16	Employers	622161052
2019-10-16	Geographic locations	622161052
2019-10-16	Job titles	622161052
2019-10-16	Names	622161052
2019-10-16	Phone numbers	622161052
2019-10-16	Social media profiles	622161052
2016-12-23	Buying preferences	8176132
2016-12-23	Charitable donations	8176132
2016-12-23	Credit status information	8176132
2016-12-23	Dates of birth	8176132
2016-12-23	Email addresses	8176132
2016-12-23	Family structure	8176132
2016-12-23	Financial investments	8176132
2016-12-23	Home ownership statuses	8176132
2016-12-23	Income levels	8176132
2016-12-23	Job titles	8176132
2016-12-23	Marital statuses	8176132
2016-12-23	Names	8176132
2016-12-23	Net worths	8176132
2016-12-23	Phone numbers	8176132
2016-12-23	Physical addresses	8176132
2016-12-23	Political donations	8176132
2017-01-30	Email addresses	760561
2017-01-30	Geographic locations	760561
2017-01-30	IP addresses	760561
2017-01-30	Names	760561
2017-01-30	Passwords	760561
2020-06-28	Dates of birth	2964182
2020-06-28	Email addresses	2964182
2020-06-28	Names	2964182
2020-06-28	Passwords	2964182
2020-06-28	Phone numbers	2964182
2020-06-28	Physical addresses	2964182
2020-06-28	Social security numbers	2964182
2021-03-14	Email addresses	4845378
2021-03-14	Names	4845378
2021-03-14	Partial credit card data	4845378
2021-03-14	Passwords	4845378
2021-03-14	Purchases	4845378
2019-02-03	Email addresses	1508
2019-02-03	Passwords	1508
2019-02-03	Private messages	1508
2014-08-10	Dates of birth	1383759
2014-08-10	Eating habits	1383759
2014-08-10	Email addresses	1383759
2014-08-10	IP addresses	1383759
2014-08-10	Names	1383759
2014-08-10	Passwords	1383759
2014-08-10	Physical attributes	1383759
2014-08-10	Usernames	1383759
2016-09-05	Email addresses	7687679
2016-09-05	Email messages	7687679
2016-09-05	IP addresses	7687679
2016-09-05	Names	7687679
2012-07-01	Email addresses	86199053
2012-07-01	Passwords	86199053
2012-07-01	Usernames	17551044
2016-07-31	Dates of birth	3264710
2016-07-31	Email addresses	3264710
2016-07-31	Names	3264710
2016-07-31	Passwords	3264710
2016-07-31	Usernames	3264710
2016-07-31	Website activity	3264710
2011-12-01	Email addresses	8718404
2011-12-01	Usernames	8718404
2014-06-13	Email addresses	648231
2014-06-13	Names	648231
2014-06-13	Passwords	648231
2014-06-13	Phone numbers	648231
2014-06-13	Physical addresses	648231
2021-03-24	Email addresses	22527655
2021-03-24	Names	22527655
2021-03-24	Phone numbers	22527655
2021-03-24	Physical addresses	22527655
2021-03-24	Purchases	22527655
2020-12-19	Email addresses	3675099
2020-12-19	Names	3675099
2020-12-19	Passwords	3675099
2020-12-19	Phone numbers	3675099
2020-12-19	Physical addresses	3675099
2020-12-19	Vehicle details	3675099
2020-07-02	Dates of birth	2479044
2020-07-02	Device information	2479044
2020-07-02	Email addresses	2479044
2020-07-02	IP addresses	2479044
2020-07-02	Names	2479044
2020-07-02	Passwords	2479044
2020-07-02	Phone numbers	2479044
2020-07-02	Physical addresses	2479044
2018-12-01	Email addresses	178467804
2018-12-01	Geographic locations	161749950
2018-12-01	Names	161749950
2018-12-01	Passwords	178467804
2018-12-01	Phone numbers	161749950
2018-12-01	Spoken languages	161749950
2018-12-01	Usernames	178467804
2017-03-29	Email addresses	6486626
2017-03-29	IP addresses	6486626
2017-03-29	Passwords	6486626
2017-03-29	Usernames	6486626
2013-04-02	Dates of birth	1580933
2013-04-02	Email addresses	1580933
2013-04-02	IP addresses	1580933
2013-04-02	Passwords	1580933
2013-04-02	Usernames	1580933
2013-04-02	Website activity	1580933
2020-06-19	Device information	3465259
2020-06-19	Email addresses	6851121
2020-06-19	Geographic locations	3465259
2020-06-19	IP addresses	6851121
2020-06-19	Names	6851121
2020-06-19	Phone numbers	6851121
2020-06-19	Passwords	3385862
2020-06-19	Physical addresses	3385862
2020-06-19	Usernames	3385862
2018-10-16	Email addresses	2789609
2018-10-16	Genders	2789609
2018-10-16	Names	2789609
2018-10-16	Passwords	2789609
2018-10-16	Phone numbers	2789609
2018-10-16	Social media profiles	2789609
2019-05-03	Dates of birth	6353564
2019-05-03	Email addresses	6353564
2019-05-03	Genders	6353564
2019-05-03	Names	6353564
2019-05-03	Partial credit card data	6353564
2019-05-03	Passwords	6353564
2019-05-03	Phone numbers	6353564
2019-05-03	Physical addresses	6353564
2019-05-03	Social media profiles	6353564
2017-05-11	Email addresses	44039707
2017-05-11	Passwords	44039707
2017-05-11	Usernames	43423561
2017-05-11	Names	616146
2009-01-01	Email addresses	5774783
2009-01-01	Employers	1291178
2009-01-01	Geographic locations	1291178
2009-01-01	Passwords	1291178
2009-01-01	Phone numbers	5774783
2009-01-01	Usernames	1291178
2009-01-01	Dates of birth	4483605
2009-01-01	IP addresses	4483605
2009-01-01	Names	4483605
2009-01-01	Physical addresses	4483605
2018-10-29	Email addresses	5788169
2018-10-29	Employers	5788169
2018-10-29	Names	5788169
2018-10-29	Physical addresses	5788169
2021-01-27	Email addresses	4324770
2021-01-27	Passwords	4324770
2016-08-11	Email addresses	781808
2016-08-11	Passwords	781808
2016-08-11	Usernames	781808
2019-09-01	Email addresses	173686322
2019-09-01	IP addresses	816662
2019-09-01	Passwords	173686322
2019-09-01	Usernames	173686322
2019-09-01	Phone numbers	172869660
2016-01-02	Email addresses	408795
2016-01-02	IP addresses	408795
2016-01-02	Passwords	408795
2016-01-02	Usernames	408795
2021-09-13	Email addresses	15003961
2021-09-13	Names	15003961
2021-09-13	Phone numbers	15003961
2021-09-13	Physical addresses	15003961
2021-09-13	Purchases	15003961
2015-06-01	Email addresses	1370175
2015-06-01	IP addresses	1370175
